City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aioun,16.6614,-9.6149,38.73,14,4,2.78,MR,1718055392
83,soligalich,59.0778,42.2864,14.82,98,97,1.92,RU,1718055122
84,gadzhiyevo,69.2551,33.3362,10.0,90,100,1.27,RU,1718055392
85,kavaratti,10.5669,72.642,28.28,84,100,6.61,IN,1718055393
86,batesville,35.7698,-91.641,29.97,42,0,2.57,US,1718055393
87,margaret river,-33.95,115.0667,15.1,63,100,4.47,AU,1718055393
88,hawaiian paradise park,19.5933,-154.9731,27.73,78,75,3.6,US,1718055394
89,holualoa,19.6228,-155.9522,26.91,80,40,6.17,US,1718055394
90,saldanha,-33.0117,17.9442,17.03,44,80,8.65,ZA,1718055394
91,kingston,17.997,-76.7936,31.53,66,20,10.29,JM,1718055292
92,olonkinbyen,70.9221,-8.7187,-1.33,91,84,5.95,SJ,1718055394
93,oranjemund,-28.55,16.4333,20.75,34,62,3.49,NA,1718055395
94,kodinsk,58.6881,99.1844,11.36,89,94,0.48,RU,1718055395
95,puerto aysen,-45.4,-72.7,5.58,100,100,1.01,CL,1718055395
96,sandpoint,48.2766,-116.5533,26.03,41,40,5.66,US,1718055193
97,laojunmiao,39.8333,97.7333,17.69,31,68,3.57,CN,1718055395
98,guiyang,26.5833,106.7167,20.27,100,100,1.0,CN,1718055396
99,vorgashor,67.5833,63.95,2.11,96,98,1.65,RU,1718055396
100,sao jose da coroa grande,-8.8978,-35.1478,25.44,74,42,5.11,BR,1718055396
101,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1718055396
102,puerto ayora,-0.7393,-90.3518,29.98,94,43,0.89,EC,1718055396
103,greymouth,-42.4667,171.2,9.46,79,96,3.91,NZ,1718055397
104,port moresby,-9.4431,147.1797,23.68,94,20,1.54,PG,1718055397
105,naracoorte,-36.9579,140.7383,14.78,69,100,7.65,AU,1718055397
106,trinity beach,-16.7888,145.6968,17.78,82,9,3.6,AU,1718055397
107,bahia blanca,-38.7196,-62.2724,13.71,48,96,1.42,AR,1718055391
108,nantucket,41.2835,-70.0995,21.72,76,0,7.72,US,1718055398
109,gobabis,-22.45,18.9667,11.42,57,32,6.2,NA,1718055398
110,isafjordur,66.0755,-23.124,5.5,77,91,1.68,IS,1718055398
111,tual,-5.6667,132.75,26.77,83,100,10.21,ID,1718055398
112,mount pearl,47.5166,-52.7813,15.25,97,100,3.09,CA,1718055398
113,labuan,5.2767,115.2417,26.2,89,20,1.03,MY,1718055399
114,vilyuchinsk,52.9306,158.4028,14.15,76,100,1.81,RU,1718055399
115,yellowknife,62.456,-114.3525,14.12,94,100,2.06,CA,1718055192
116,udachny,66.4167,112.4,17.47,40,59,0.2,RU,1718055399
117,skeldon,5.8833,-57.1333,26.24,86,93,2.5,GY,1718055399
118,emerald,-23.5333,148.1667,12.64,53,0,5.83,AU,1718055399
119,sao gabriel da cachoeira,-0.1303,-67.0892,25.37,97,64,0.96,BR,1718055400
120,pascoe vale south,-37.7434,144.9385,13.65,81,100,13.89,AU,1718055400
121,murud,18.3258,72.965,25.96,86,100,0.89,IN,1718055400
122,nabire,-3.3667,135.4833,24.31,95,100,1.57,ID,1718055400
123,peniscola,40.3359,0.3613,20.0,68,59,0.74,ES,1718055401
124,inhambane,-23.865,35.3833,18.3,81,26,3.7,MZ,1718055401
125,nikolayevsk-on-amure,53.1406,140.73,6.79,98,100,1.79,RU,1718055401
126,stanley,54.868,-1.6985,7.77,90,75,3.09,GB,1718055401
127,sinabang,2.4803,96.3801,26.31,86,99,2.06,ID,1718055401
128,zhongshu,24.5167,103.7667,18.58,97,98,0.87,CN,1718055401
129,pisco,-13.7,-76.2167,19.03,77,20,3.09,PE,1718055243
130,longyearbyen,78.2186,15.6401,5.91,65,0,2.57,SJ,1718055402
131,fruit heights,41.0322,-111.9022,28.65,36,20,3.09,US,1718055402
132,mossel bay,-34.1831,22.146,19.96,49,99,3.38,ZA,1718055402
133,konarka,19.9,86.1167,29.22,85,94,7.97,IN,1718055402
134,yatsuomachi-higashikumisaka,36.5667,137.1333,20.93,70,75,3.13,JP,1718055403
135,mugia,43.1041,-9.2179,14.95,74,30,8.87,ES,1718055403
136,badger,64.8,-147.5333,21.14,50,75,1.54,US,1718055403
